"genotype_name","genotype_id","treatment","location","rep","Pod_branches_5C","Flower_branches_5C","Non.fertile_nodes_5C","Total_nodes_5C","Proportion_pod_nodes_5C","Proportion_floral_nodes_5C","Pod_nodes_versus_DAV_5C","Pod_branches_10C","Flower_branches_10C","Non.fertile_nodes_10C","Total_nodes_10C","Proportion_pod_nodes_10C","Proportion_floral_nodes_10C","Pod_nodes_versus_DAV_10C","Pod_branches_tenminusfive","Flower_branches_tenminusfive","Non.fertile_nodes_tenminusfive","Total_nodes_tenminusfive","Proportion_pod_nodes_tenminusfive","Proportion_floral_nodes_tenminusfive","Pod_nodes_versus_DAV_tenminusfive"
"Baltia","a-0000133","branching",2,3,6,0,5,11,0.545454545,0,"0.006571742",4,0,6,10,0.4,0,0.004444444,-2,0,1,-1,-0.145454545,0,"-0.002127297"
"Coriander","a-0000137","branching",1,1,5,1,0,6,0.833333333,0.166666667,"0.010288066",4,1,0,5,0.8,0.2,0.009638554,-1,0,0,-1,-0.033333333,0.033333333,"-0.000649512"
"Coriander","a-0000137","branching",1,2,6,0,0,6,1,0,"0.012345679",6,0,1,7,0.857142857,0,0.010327022,0,0,1,1,-0.142857143,0,"-0.002018657"
"Coriander","a-0000137","branching",2,3,5,1,5,11,0.454545455,0.090909091,"0.005611672",6,5,4,15,0.4,0.333333333,0.004938272,1,4,-1,4,-0.054545455,0.242424242,"-0.000673401"
"Dippes","a-0000139","branching",1,1,4,1,6,11,0.363636364,0.090909091,"0.004132231",3,1,6,10,0.3,0.1,0.003157895,-1,0,0,-1,-0.063636364,0.009090909,"-0.000974337"
"Dippes","a-0000139","branching",1,2,5,2,5,12,0.416666667,0.166666667,"0.00502008",2,1,4,7,0.285714286,0.142857143,0.003007519,-3,-1,-1,-5,-0.130952381,-0.023809524,"-0.002012562"
"Dippes","a-0000139","branching",2,3,6,5,4,15,0.4,0.333333333,"0.004705882",4,1,2,7,0.571428571,0.142857143,0.006015038,-2,-4,-2,-8,0.171428571,-0.19047619,"0.001309155"
"Kromerska","a-0000150","branching",1,1,3,1,2,6,0.5,0.166666667,"0.005555556",1,5,4,10,0.1,0.5,0.001075269,-2,4,2,4,-0.4,0.333333333,"-0.004480287"
"Kromerska","a-0000150","branching",1,2,4,1,0,5,0.8,0.2,"0.009090909",3,2,2,7,0.428571429,0.285714286,0.004418262,-1,1,2,2,-0.371428571,0.085714286,"-0.004672647"
"Kromerska","a-0000150","branching",2,3,4,0,0,4,1,0,"0.011363636",3,1,3,7,0.428571429,0.142857143,0.004658385,-1,1,3,3,-0.571428571,0.142857143,"-0.006705251"
"Matador","a-0000160","branching",1,1,5,2,1,8,0.625,0.25,"0.00753012",4,1,1,6,0.666666667,0.166666667,0.007407407,-1,-1,0,-2,0.041666667,-0.083333333,"-0.000122713"
"Matador","a-0000160","branching",1,2,NA,NA,NA,0,NA,NA,"",5,1,2,8,0.625,0.125,0.006944444,NA,NA,NA,8,NA,NA,""
"Matador","a-0000160","branching",2,3,NA,NA,NA,0,NA,NA,"",3,1,5,9,0.333333333,0.111111111,0.003703704,NA,NA,NA,9,NA,NA,""
"Ramses","a-0000168","branching",1,1,4,1,3,8,0.5,0.125,"0.006024096",4,1,4,9,0.444444444,0.111111111,0.005050505,0,0,1,1,-0.055555556,-0.013888889,"-0.000973591"
"Ramses","a-0000168","branching",1,2,3,2,2,7,0.428571429,0.285714286,"0.005291005",3,2,4,9,0.333333333,0.222222222,0.003787879,0,0,2,2,-0.095238095,-0.063492063,"-0.001503127"
"Ramses","a-0000168","branching",2,3,4,0,2,6,0.666666667,0,"0.008032129",4,1,3,8,0.5,0.125,0.005681818,0,1,1,2,-0.166666667,0.125,"-0.00235031"
"Slovenska_Krajova","a-0000172","branching",1,1,4,0,2,6,0.666666667,0,"0.008032129",5,0,4,9,0.555555556,0,0.00617284,1,0,2,3,-0.111111111,0,"-0.001859289"
"Slovenska_Krajova","a-0000172","branching",1,2,5,0,0,5,1,0,"0.011764706",5,0,3,8,0.625,0,0.007102273,0,0,3,3,-0.375,0,"-0.004662433"
"Slovenska_Krajova","a-0000172","branching",2,3,5,0,2,7,0.714285714,0,"0.008403361",5,0,4,9,0.555555556,0,0.006313131,0,0,2,2,-0.158730159,0,"-0.00209023"
